gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
300,194703180BOS,NBA,0,1947,3/18/1947,55,0,BOS,Celtics,58,1216.7397,1205.2825,31.25457,CLR,Rebels,67,1270.1802,1281.6375,H,L,0.56660634,
306,194703200GSW,NBA,0,1947,3/20/1947,57,0,PHW,Warriors,77,1360.325,1361.7554,47.424496,DTF,Falcons,75,1196.0957,1194.6653,H,W,0.8206895,
312,194703220PRO,NBA,1,1947,3/22/1947,58,0,PHW,Warriors,103,1361.7554,1380.6956,49.346355,PRO,Steamrollers,82,1292.9866,1274.0464,A,W,0.45517534,
316,194703240BOS,NBA,0,1947,3/24/1947,56,0,BOS,Celtics,69,1205.2825,1197.5885,30.496748,CHS,Stags,80,1394.5332,1402.2272,H,L,0.37431052,
318,194703250CLR,NBA,1,1947,3/25/1947,57,0,BOS,Celtics,64,1197.5885,1193.8811,30.134272,CLR,Rebels,72,1300.4148,1304.1222,A,L,0.23729593,
321,194703260PIT,NBA,1,1947,3/26/1947,58,0,BOS,Celtics,74,1193.8811,1207.5765,31.481926,PIT,Ironmen,61,1125.157,1111.4615,A,W,0.45511156,
323,194703270GSW,NBA,0,1947,3/27/1947,59,0,PHW,Warriors,80,1380.6956,1386.6357,49.941746,CHS,Stags,73,1393.8607,1387.9205,H,W,0.62242681,
327,194703290STB,NBA,1,1947,3/29/1947,59,0,BOS,Celtics,55,1207.5765,1205.7163,31.297518,STB,Bombers,59,1373.0034,1374.8636,A,L,0.17829823,
329,194703300CLR,NBA,1,1947,3/30/1947,60,0,BOS,Celtics,71,1205.7163,1218.3289,32.555599,CLR,Rebels,66,1301.7612,1289.1487,A,W,0.24443334,
330,194703300GSW,NBA,0,1947,3/30/1947,60,0,PHW,Warriors,76,1386.6357,1389.9673,50.273964,NYK,Knicks,72,1335.4875,1332.156,H,W,0.7047621,
333,194704020GSW,NBA,0,1947,4/2/1947,61,1,PHW,Warriors,73,1389.9673,1394.2438,50.698528,STB,Bombers,68,1369.4114,1365.1349,H,W,0.66685075,
337,194704050STB,NBA,1,1947,4/5/1947,62,1,PHW,Warriors,51,1394.2438,1381.0083,49.377796,STB,Bombers,73,1365.1349,1378.3704,A,L,0.3993721,
338,194704060STB,NBA,1,1947,4/6/1947,63,1,PHW,Warriors,75,1381.0083,1400.4183,51.307644,STB,Bombers,59,1378.3704,1358.9603,A,W,0.36344081,
343,194704120GSW,NBA,0,1947,4/12/1947,64,1,PHW,Warriors,82,1400.4183,1406.1161,51.865456,NYK,Knicks,70,1334.1049,1328.4071,H,W,0.72259641,
345,194704140NYK,NBA,1,1947,4/14/1947,65,1,PHW,Warriors,72,1406.1161,1423.2423,53.515533,NYK,Knicks,53,1328.4071,1311.2809,A,W,0.46796459,
346,194704160GSW,NBA,0,1947,4/16/1947,66,1,PHW,Warriors,84,1423.2423,1431.7393,54.318321,CHS,Stags,71,1432.2572,1423.7603,H,W,0.62802476,
347,194704170GSW,NBA,0,1947,4/17/1947,67,1,PHW,Warriors,85,1431.7393,1438.8226,54.978973,CHS,Stags,74,1423.7603,1416.6769,H,W,0.65057713,
348,194704190CHS,NBA,1,1947,4/19/1947,68,1,PHW,Warriors,75,1438.8226,1446.0986,55.649139,CHS,Stags,72,1416.6769,1409.4009,A,W,0.38979715,
